year,state,epi_score
2008,Arkansas,48.12355069831635
2010,Arkansas,48.093952158362505
2012,Arkansas,46.64401706929008
2014,Arkansas,46.783488921355456
2016,Arkansas,46.6521621014302
2018,Arkansas,51.68675038549635
2020,Arkansas,58.099996061323
2022,Arkansas,56.060101166884934
2008,National Average,58
2010,National Average,63
2012,National Average,67
2014,National Average,70
2016,National Average,73
2018,National Average,76
2020,National Average,78
2022,National Average,80
